iter	Logloss
0	0.6683725524
1	0.6489404279
2	0.6349466446
3	0.6218727871
4	0.6112476366
5	0.6031552183
6	0.5948135807
7	0.5863807531
8	0.582084123
9	0.5769783916
10	0.572885091
11	0.5692269267
12	0.5652603671
13	0.5623054674
14	0.5589712973
15	0.5557911208
16	0.5525063774
17	0.5506848906
18	0.5489672906
19	0.5463952437
20	0.5435884881
21	0.5422019562
22	0.5401378252
23	0.5380411361
24	0.5361923059
25	0.5345050874
26	0.5329279226
27	0.5311907787
28	0.5294515034
29	0.5273198075
30	0.5256735814
31	0.5240610018
32	0.5225457791
33	0.5209655308
34	0.5197655053
35	0.5180663156
36	0.5167264442
37	0.5154184962
38	0.5142368356
39	0.5134453285
40	0.5120227921
41	0.5112021731
42	0.5102629754
43	0.5087383661
44	0.5080174167
45	0.5071794756
46	0.5060314161
47	0.5040843675
48	0.502510785
49	0.5019305429
50	0.5015714966
51	0.5005010687
52	0.4991381618
53	0.4983579457
54	0.4971915666
55	0.4966515007
56	0.4951156911
57	0.4939265032
58	0.4929944247
59	0.4914867293
60	0.490735353
61	0.4890208818
62	0.4877505706
63	0.4867359632
64	0.4857810759
65	0.4848650951
66	0.4841916225
67	0.4829346429
68	0.4819551329
69	0.4803774693
70	0.4794681997
71	0.4783241759
72	0.4770829766
73	0.4759955895
74	0.4744776461
75	0.4733720754
76	0.4723052752
77	0.4706512043
78	0.4701668228
79	0.4687918086
80	0.4674759705
81	0.4655411651
82	0.4651361837
83	0.464069066
84	0.4629068587
85	0.4619808565
86	0.4609613971
87	0.4592045278
88	0.4580322084
89	0.4569497186
90	0.4561743998
91	0.4551583867
92	0.4536559061
93	0.4521635376
94	0.4511579993
95	0.4502232907
96	0.4487881937
97	0.4470450641
98	0.4458005999
99	0.444806806
100	0.4434688392
101	0.4425320902
102	0.4414387628
103	0.4399434921
104	0.4386072938
105	0.4371464405
106	0.435978565
107	0.4353079945
108	0.4346756956
109	0.4338019316
110	0.4315835803
111	0.4304947421
112	0.4284015899
113	0.4273527466
114	0.4261856419
115	0.424798974
116	0.4237804668
117	0.4225601718
118	0.4216193416
119	0.4204653872
120	0.4187605746
121	0.4178244604
122	0.4155819398
123	0.414200668
124	0.4126853093
125	0.4111832821
126	0.4097432878
127	0.408341157
128	0.4067946005
129	0.4053281243
130	0.4046377831
131	0.4033421691
132	0.4017771569
133	0.4007366118
134	0.3993192902
135	0.3979333478
136	0.3976632242
137	0.396685528
138	0.395164093
139	0.3930618263
140	0.3913742451
141	0.3900603568
142	0.3886796744
143	0.3879385462
144	0.3864639078
145	0.3846701272
146	0.3835707235
147	0.3820766319
148	0.3819098508
149	0.3803353161
150	0.3791003744
151	0.3777632692
152	0.3767460317
153	0.375727774
154	0.3743912809
155	0.3733111944
156	0.3718329737
157	0.3709331133
158	0.3700652215
159	0.3689745468
160	0.36785374
161	0.366394315
162	0.3651289012
163	0.364526009
164	0.3638179603
165	0.3630847676
166	0.3624713325
167	0.3612378873
168	0.3603178254
169	0.3593326472
170	0.3586255735
171	0.3571596415
172	0.3565283403
173	0.3554619935
174	0.354275617
175	0.353447652
176	0.3524381912
177	0.3515108514
178	0.3501213493
179	0.3492351152
180	0.3480110792
181	0.3466903891
182	0.3455618735
183	0.3442738322
184	0.3433498706
185	0.3426344533
186	0.3413892635
187	0.340160693
188	0.3394803958
189	0.3386543127
190	0.3377656979
191	0.336842938
192	0.335730248
193	0.334844354
194	0.3337267214
195	0.3328111487
196	0.3321335496
197	0.3310598569
198	0.3300933158
199	0.3287304769
