model_name,target,unsupervised_features,best_cv_f1,f1,roc_auc,accuracy,best_params
Logistic Regression,high_risk,True,0.18925252525252526,0.07692307692307693,0.8235185185185185,0.9643387815750372,"{'C': 1, 'l1_ratio': 1}"
Naive Bayes,high_risk,True,0.2069355963112695,0.21666666666666667,0.8069135802469136,0.8603268945022289,{'var_smoothing': 1e-10}
SVM,high_risk,True,0.19201379998043147,0.1774193548387097,0.6648148148148147,0.8484398216939079,"{'C': 5, 'gamma': 0.01, 'kernel': 'rbf'}"
Random Forest,high_risk,True,0.2889154834347532,0.29411764705882354,0.8184567901234568,0.9643387815750372,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 400}"
Gradient Boosting,high_risk,True,0.2556686917087362,0.0,0.7830864197530865,0.9539375928677564,"{'learning_rate': 0.1, 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.7}"
XGBoost,high_risk,True,0.21952380952380954,0.25806451612903225,0.8099074074074074,0.9658246656760773,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 3}"
