model_name,target,unsupervised_features,best_cv_f1,f1,roc_auc,accuracy,best_params
Logistic Regression,churn,True,0.6479423856889621,0.6356073211314476,0.7380064158016147,0.674591381872214,"{'C': 0.1, 'l1_ratio': 0.5}"
Naive Bayes,churn,True,0.6606855628995849,0.6870451237263464,0.7350057670126875,0.6805349182763745,{'var_smoothing': 1e-10}
SVM,churn,True,0.6639262791468884,0.6816143497757847,0.7393535539215685,0.6835066864784547,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}"
Random Forest,churn,True,0.6656825206331718,0.6636225266362252,0.7374927912341408,0.6716196136701337,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}"
Gradient Boosting,churn,True,0.640620646428203,0.6306913996627319,0.7356140066320646,0.674591381872214,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300, 'subsample': 1.0}"
XGBoost,churn,True,0.6811465306153057,0.6789473684210526,0.7328025879469435,0.637444279346211,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 2}"
